company_name,wko_rows,wko_profile_url,http_status,employee_best_numeric_mention,employee_mention_kinds,employee_evidence_contexts,mentions_count,profile_text_len,error
"ABW - SCHUSTER Allgemeine Bauträger, Wohnungseigentum & Immobilienverwaltung Nfg. GmbH & Co KG",1,https://firmen.wko.at/abw-schuster-allgemeine-bautr%c3%a4ger-wohnungseigentum-und-immobilienverwaltung-nfg-gmbh-und-co-kg/wien/?firmaid=f126d2be-c36f-486e-8446-5db688b4317e&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
ACASA Immobilienmanagement GmbH,1,https://firmen.wko.at/acasa-immobilienmanagement-gmbh/k%c3%a4rnten/?firmaid=01551775-1088-431f-b534-6dcda7cad8de&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
ADJOKAT Hausverwaltungs GmbH,1,https://firmen.wko.at/adjokat-hausverwaltungs-gmbh/wien/?firmaid=df0e07f7-b2dd-4d7e-a295-d71f0febb06f&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
Aedis Hausverwaltung GmbH,1,https://firmen.wko.at/aedis-hausverwaltung-gmbh/wien/?firmaid=42904962-bad7-4286-81e9-df0a0d40f9f5&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
AGImmobilien GmbH,1,https://firmen.wko.at/agimmobilien-gmbh/nieder%c3%b6sterreich/?firmaid=14502ae1-63d2-4523-8209-b51fd20d3672&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
Agnes Kratochwil,1,https://firmen.wko.at/agnes-kratochwil/wien/?firmaid=f4ccbded-fd97-4013-a3bb-53dbfca965b0&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
Agoreal Immobilien GmbH,1,https://firmen.wko.at/agoreal-immobilien-gmbh/wien/?firmaid=00028044-cbb5-4440-ade4-91a3071f1566&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
AHCM Immobilienmanagement KG,1,https://firmen.wko.at/ahcm-immobilienmanagement-kg/salzburg/?firmaid=b5bcb7bf-e2f6-47eb-ab86-de955087c202&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,200,,,,0,2871,
AI Alpenraum Immobilien GmbH,1,https://firmen.wko.at/ai-alpenraum-immobilien-gmbh/tirol/?firmaid=b9e282a7-7512-4d00-a8f8-0a1409dd9d83&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
AI Immobilienverwertung GmbH.,2,https://firmen.wko.at/ai-immobilienverwertung-gmbh/ober%c3%b6sterreich/?firmaid=d8d355d2-e516-4ab3-90e2-2d6ba243cc0c&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
AICO Service GmbH,1,https://firmen.wko.at/aico-service-gmbh/k%c3%a4rnten/?firmaid=cda1677d-cbc0-45ae-98c4-6cc47eec1589&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
Aigner Hausverwaltung GmbH,1,https://firmen.wko.at/aigner-hausverwaltung-gmbh/ober%c3%b6sterreich/?firmaid=a48fbc8f-85a8-454d-b244-c52cf4c63b64&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
